"n", "LOCATION","AGE","WEIGHT"
"1","1",3,0.44
"2","1",3,0.5
"3","1",3,0.66
"4","1",3,0.78
"5","1",4,1.2
"6","1",4,1.18
"7","1",4,1.08
"8","1",6,1.12
"9","1",6,1.72
"10","1",7,1.04
"11","1",7,1.66
"12","1",7,1.7
"13","1",8,2.62
"14","1",9,1.88
"15","1",10,2.26
"16","1",11,4.1
"17","1",11,4.56
"18","1",11,2.12
"19","1",11,3.96
"20","1",11,3.84
"21","1",12,5.58
"22","1",12,5.64
"23","1",12,4.26
"24","1",13,6
"25","1",13,2.54
"26","1",13,3.82
"27","1",14,4.5
"28","1",14,5.18
"29","1",14,4.78
"30","1",14,5.34
"31","1",14,4.04
"32","1",15,6.38
"33","1",15,4.08
"34","1",16,4.56
"35","1",22,6.44
"36","2",3,0.76
"37","2",4,1.38
"38","2",5,1.2
"39","2",5,1.76
"40","2",6,2.6
"41","2",6,2.16
"42","2",6,2.64
"43","2",6,2.52
"44","2",6,3.08
"45","2",6,2.12
"46","2",7,2.72
"47","2",7,2.96
"48","2",8,4.54
"49","2",8,5.26
"50","2",8,5.6
"51","2",8,2.52
"52","2",8,3.9
"53","2",10,3.94
"54","2",10,6.22
"55","2",10,4.96
"56","2",13,9.02
"57","2",13,8.2
"58","2",13,8.26
"59","2",14,6.4
"60","2",15,10.06
"61","2",15,8.6
"62","2",18,11.06
"63","2",19,10.78
"64","2",22,12.04
"65","2",24,13.92
